"activityId" "activityName" "subjectId" "meanvalue"
"1" 1 "WALKING" 1 -0.43340176871318
"2" 1 "WALKING" 2 -0.485945198296327
"3" 1 "WALKING" 3 -0.51835911919331
"4" 1 "WALKING" 4 -0.568450456629395
"5" 1 "WALKING" 5 -0.476629682932572
"6" 1 "WALKING" 6 -0.548435435666143
"7" 2 "WALKING_UPSTAIRS" 4 -0.474957978145908
"8" 2 "WALKING_UPSTAIRS" 6 -0.166655005310175
"9" 2 "WALKING_UPSTAIRS" 7 -0.477490113164926
"10" 2 "WALKING_UPSTAIRS" 8 -0.448217800491799
"11" 2 "WALKING_UPSTAIRS" 9 -0.496222026267963
"12" 2 "WALKING_UPSTAIRS" 10 -0.731383531213742
"13" 2 "WALKING_UPSTAIRS" 11 -0.533285646067873
"14" 2 "WALKING_UPSTAIRS" 14 -0.73545091282421
"15" 3 "WALKING_DOWNSTAIRS" 10 -0.412233433711476
"16" 3 "WALKING_DOWNSTAIRS" 12 -0.540933052721947
"17" 3 "WALKING_DOWNSTAIRS" 14 -0.34534623624576
"18" 3 "WALKING_DOWNSTAIRS" 15 -0.519508555041282
"19" 3 "WALKING_DOWNSTAIRS" 16 -0.573828932538216
"20" 3 "WALKING_DOWNSTAIRS" 17 -0.754103647178987
"21" 4 "SITTING" 12 -0.473910460898487
"22" 4 "SITTING" 13 -0.495152336926342
"23" 4 "SITTING" 17 -0.52009844396673
"24" 4 "SITTING" 18 -0.737605739056455
"25" 4 "SITTING" 19 -0.483694507252973
"26" 4 "SITTING" 21 -0.557539910547687
"27" 4 "SITTING" 22 -0.555508738496499
"28" 5 "STANDING" 18 -0.570966919262857
"29" 5 "STANDING" 20 -0.502460501474267
"30" 5 "STANDING" 22 -0.430989252386922
"31" 5 "STANDING" 23 -0.461761445953594
"32" 5 "STANDING" 25 -0.56216955783249
"33" 5 "STANDING" 26 -0.546549940962061
"34" 5 "STANDING" 27 -0.74352547466077
"35" 6 "LAYING" 20 -0.431997892610083
"36" 6 "LAYING" 24 -0.549409308325907
"37" 6 "LAYING" 27 -0.514035226332209
"38" 6 "LAYING" 28 -0.546459747612213
"39" 6 "LAYING" 29 -0.517450675144764
"40" 6 "LAYING" 30 -0.500687574465293
